session,filename,duration_s,tier,tier_weight,my_visibility,op_visibility,my_ring,op_ring,my_aggression,op_aggression,my_movement,op_movement,my_volume,op_volume,my_defense,op_defense,my_head_movement,op_head_movement,my_guard,op_guard,my_punches,op_punches,compute_ms
3f94fa52,yellow.mov,18,high,1.0,0.863,0.753,54,46,50,50,52,48,46,54,51,49,71,29,48,46,10,12,24.9
4e282a22,Video by criztianlaurente15.mp4,17,high,1.0,0.899,0.968,44,56,46,54,51,49,54,46,43,57,37,63,57,33,18,30,23.0
4e983f1f,box_green.mov,46,high,1.0,0.978,0.879,51,49,50,50,54,46,60,40,56,44,58,42,50,46,26,20,85.6
58d96cfe,box_gigguys.mov,47,high,1.0,0.961,0.918,41,59,51,49,49,51,66,34,53,47,45,55,40,57,22,10,93.5
75ff0142,Got a few good rounds N today 🔥🥊#boxing #detroit #mma #fight.mp4,125,high,1.0,0.986,0.995,27,73,50,50,50,50,50,50,49,51,45,55,48,53,21,21,284.2
ac1d41d3,#boxing🥊 #noboxingnolife #sparringday🔥🥊 #fitness #fyp lil th.mp4,28,high,1.0,0.983,1.0,85,15,38,62,31,69,30,70,38,62,53,47,26,34,15,31,50.4
cc7be917,Video by overtimeboxing.mp4,24,high,1.0,1.0,1.0,31,69,47,53,61,39,40,60,47,53,46,54,60,58,36,33,48.1
e4e58936,box_test.mov,94,high,1.0,0.886,0.696,49,51,51,49,57,44,57,43,51,49,63,37,49,55,40,36,166.6
f5433363,Video by yoshikillznina.mp4,11,high,1.0,1.0,1.0,52,48,55,45,62,38,52,48,50,50,58,42,27,41,4,3,19.1
f83c26c3,#boxing🥊 #noboxingnolife #sparringday🔥🥊 #fitness #fyp lil th.mp4,28,high,1.0,0.998,0.983,67,33,56,44,54,46,63,37,51,49,34,66,34,45,33,25,53.7
